musician_id,company_name,musician
1,Warnerbros Records, Andra Day 
2,Warnerbros Records, Baka Not Nice 
3,Warnerbros Records, Carlie Hanson 
4,Warnerbros Records, Damon Albarn  
5,Warnerbros Records, Eric Clapton 
6,Warnerbros Records, Feder 
7,Warnerbros Records, Gallant 
8,Warnerbros Records, Houndmouth 
9,Warnerbros Records, Icarus 
10,Warnerbros Records, Jason Derulo 
11,Warnerbros Records, Kai 
12,Warnerbros Records, Liam Gallagher 
13,Warnerbros Records, Mac Miller 
14,Warnerbros Records, Neil Young 
15,Warnerbros Records, Ofenbach 
16,Warnerbros Records, PartyNextDoor 
17,Warnerbros Records, Q Money 
18,Warnerbros Records, Rationale 
19,Warnerbros Records, Sabina Ddumba 
20,Warnerbros Records, Tegan & Sara 
21,Warnerbros Records, YFN Lucci 
